Produkt,Beschreibung,Kategorie,Preis Tag 1 (in CHF),Preis Tag 2 (in CHF),Preisdifferenz (in CHF),Preisdifferenz (in Prozent)
Bergsteiger Rucksack,Robuster Rucksack ideal für Wanderungen und Tagestouren,Outdoor,49.95,49.95,0.0,0.0
Organischer Dünger,Natürlicher Dünger für Pflanzen und Garten,Garten,15.5,15.5,0.0,0.0
Keramik-Teetasse,Handgefertigte Teetasse aus hochwertiger Keramik,Haushalt,9.9,10.2,0.3,3.03
Digitale Armbanduhr,Wasserdichte Armbanduhr mit vielen digitalen Funktionen,Accessoires,120.0,115.0,-5.0,-4.17
Yoga-Matte,Rutschfeste Yoga-Matte für alle Arten von Yoga,Sport,35.0,35.0,0.0,0.0
Bluetooth-Lautsprecher,"Kompakter, kraftvoller Lautsprecher mit Bluetooth-Verbindung",Elektronik,59.5,59.5,0.0,0.0
Veganes Kochbuch,Über 100 vegane Rezepte für gesunde und leckere Gerichte,Bücher,24.95,24.95,0.0,0.0
LED Schreibtischlampe,Energieeffiziente LED-Lampe mit einstellbarer Helligkeit,Büro,29.5,29.5,0.0,0.0
Wandkalender 2024,Großer Wandkalender midst beeindruckenden Landschaftsfotos,Papierwaren,14.5,14.5,0.0,0.0
Isolierkanne,Hält Getränke stundenlang warm oder kalt,Haushalt,19.95,20.5,0.55,2.76
